protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
query,test,selected:minus_bm25,relevance_grade,1,query_language,ID,18,12,6,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.016666666666666666,0.08333333333333333,0.027777777777777776,0.0065177600836493965,0.022222222222222223,0.016666666666666666,0.08333333333333333,0.027777777777777776,0.005778755257262851,0.05000000000000001,0.027083333333333334,0.16666666666666666,0.03819444444444444,0.00710961621199068,0.052777777777777785,0.06527777777777778,0.25,0.04577020202020202,0.0210444288710217
query,test,selected:minus_bm25,relevance_grade,1,query_language,MIXED,32,22,10,0.0625,0.009090909090909092,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.03125,0.009090909090909092,0.045454545454545456,0.045454545454545456,0.030615632646817204,0.025,0.018181818181818184,0.09090909090909091,0.05454545454545454,0.029475864886758744,0.028125000000000004,0.02467532467532468,0.13636363636363635,0.060227272727272727,0.030979738623903245,0.029687500000000002,0.049296536796536804,0.2727272727272727,0.06881313131313131,0.042725486102999255
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Comparative Treatment Choice,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Dosing / Administration,19,14,5,0.05263157894736842,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.03508771929824561,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.048110279873569896,0.021052631578947368,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.03892450849189045,0.031578947368421054,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.03892450849189045,0.0368421052631579,0.024489795918367346,0.14285714285714285,0.07738095238095237,0.04587589433279161
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Efficacy / Outcomes,3,1,2,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Guideline / Evidence Lookup,10,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.020833333333333332,0.125,0.008333333333333333,0.011123795297334819
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Interaction / Combination,7,7,0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.028571428571428574,0.14285714285714285,0.047619047619047616,0.011173303000541823,0.028571428571428574,0.028571428571428574,0.14285714285714285,0.047619047619047616,0.009906437583879173,0.05714285714285715,0.028571428571428574,0.14285714285714285,0.047619047619047616,0.009906437583879173,0.04285714285714286,0.07619047619047618,0.2857142857142857,0.0606060606060606,0.02140931459876533
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Management / Treatment Selection,11,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018181818181818184,0.0,0.0,0.0,0.0,0.018181818181818184,0.0,0.0,0.0,0.0
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Mechanism / Background Knowledge,6,3,3,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.03333333333333333,0.12037037037037036,0.6666666666666666,0.0462962962962963,0.07970491322198296
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Monitoring / Response / Risk Assessment,9,7,2,0.1111111111111111,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.06666666666666668,0.015873015873015872,0.14285714285714285,0.03571428571428571,0.022558192488372486,0.044444444444444446,0.015873015873015872,0.14285714285714285,0.03571428571428571,0.020401298407915196,0.05000000000000001,0.03373015873015873,0.2857142857142857,0.043233082706766915,0.025166593793240682
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Prophylaxis / Maintenance,8,6,2,0.125,0.0,0.0,0.0,0.0,0.125,0.03333333333333333,0.16666666666666666,0.08333333333333333,0.02442338672877317,0.1,0.06666666666666667,0.3333333333333333,0.11666666666666665,0.04022388357656052,0.07500000000000001,0.09047619047619049,0.5,0.13749999999999998,0.04573808727942368,0.06875,0.11130952380952382,0.6666666666666666,0.1486111111111111,0.0485992592301282
