slice_family,slice_name,split,system,system_label,global_queries,queries,eligible_queries,no_positive_queries,support_flag,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10
language,Bahasa Indonesia,test,bm25_structured,BM25 + structure,105,25,20,5,adequate,0.04,0.01833333333333333,0.1,0.01833333333333333,0.0069824976609407
language,Bahasa Indonesia,test,hybrid,Hybrid without intent,105,25,20,5,adequate,0.036000000000000004,0.00833333333333333,0.05,0.01,0.00255634366939731
language,Bahasa Indonesia,test,hybrid_intent,Hybrid + predicted intent,105,25,20,5,adequate,0.036000000000000004,0.01833333333333333,0.1,0.05500000000000001,0.01019990996329885
language,Mixed language,validation,bm25,BM25,173,51,38,13,adequate,0.03529411764705883,0.017543859649122806,0.05263157894736842,0.005555555555555556,0.0030350039584618026
language,Mixed language,validation,bm25_structured,BM25 + structure,173,51,38,13,adequate,0.03333333333333334,0.017543859649122806,0.05263157894736842,0.014035087719298246,0.004831772057687047
language,Mixed language,validation,hybrid,Hybrid without intent,173,51,38,13,adequate,0.027450980392156866,0.017543859649122806,0.05263157894736842,0.014035087719298246,0.004831772057687047
language,Mixed language,validation,hybrid_intent,Hybrid + predicted intent,173,51,38,13,adequate,0.027450980392156866,0.008771929824561403,0.02631578947368421,0.003289473684210526,0.0038048996107325024
language,Mixed language,test,bm25,BM25,173,44,38,6,adequate,0.02727272727272728,0.01937134502923977,0.07894736842105263,0.013408521303258142,0.00921365242880664
language,Mixed language,test,bm25_structured,BM25 + structure,173,44,38,6,adequate,0.03636363636363637,0.03252923976608187,0.07894736842105263,0.01476608187134503,0.013617809875791552
language,Mixed language,test,hybrid,Hybrid without intent,173,44,38,6,adequate,0.03181818181818182,0.0062134502923976605,0.05263157894736842,0.010526315789473684,0.005178494089249057
language,Mixed language,test,hybrid_intent,Hybrid + predicted intent,173,44,38,6,adequate,0.03181818181818182,0.03545321637426901,0.07894736842105263,0.021052631578947368,0.017036099531299097
entity_count,Zero recognized entities,validation,bm25,BM25,0,0,0,0,empty,,,,,
entity_count,Zero recognized entities,validation,bm25_structured,BM25 + structure,0,0,0,0,empty,,,,,
entity_count,Zero recognized entities,validation,hybrid,Hybrid without intent,0,0,0,0,empty,,,,,
entity_count,Zero recognized entities,validation,hybrid_intent,Hybrid + predicted intent,0,0,0,0,empty,,,,,
