experiment,protocol,split,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20,experiment_family,source_file
R-B0,query,validation,conservative_relevance_grade,1,100,70,30,0.03,0.0023809523809523,0.0142857142857142,0.0142857142857142,0.0061224489795918,0.0333333333333333,0.0023809523809523,0.0142857142857142,0.0142857142857142,0.0041237382748774,0.03,0.0052380952380952,0.0285714285714285,0.0178571428571428,0.0038852131493628,0.0419999999999999,0.0276190476190476,0.1142857142857142,0.0284240362811791,0.013024977426551,0.044,0.0542006802721088,0.1857142857142857,0.0335790598290598,0.0224157597703461,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,validation,conservative_relevance_grade,2,100,49,51,0.03,0.0034013605442176,0.0204081632653061,0.0204081632653061,0.0087463556851311,0.0333333333333333,0.0034013605442176,0.0204081632653061,0.0204081632653061,0.0058910546783963,0.03,0.0034013605442176,0.0204081632653061,0.0204081632653061,0.0055503044990897,0.0419999999999999,0.0289115646258503,0.0612244897959183,0.0253644314868804,0.0126827700268704,0.044,0.0459183673469387,0.1020408163265306,0.0280004859086491,0.0187820271827402,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,validation,event_hierarchy_relevance_grade,1,100,70,30,0.03,0.0023809523809523,0.0142857142857142,0.0142857142857142,0.0061224489795918,0.0333333333333333,0.0023809523809523,0.0142857142857142,0.0142857142857142,0.0041237382748774,0.03,0.0052380952380952,0.0285714285714285,0.0178571428571428,0.0040239374692668,0.0419999999999999,0.0276190476190476,0.1142857142857142,0.0284240362811791,0.0135475609413139,0.044,0.0542006802721088,0.1857142857142857,0.0335790598290598,0.0227034756516434,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,validation,event_hierarchy_relevance_grade,2,100,42,58,0.03,0.0047619047619047,0.0238095238095238,0.0238095238095238,0.010204081632653,0.0333333333333333,0.0047619047619047,0.0238095238095238,0.0238095238095238,0.0068728971247956,0.03,0.0047619047619047,0.0238095238095238,0.0238095238095238,0.0067065624487781,0.0419999999999999,0.0345238095238095,0.0714285714285714,0.0295918367346938,0.0156675375559537,0.044,0.0543650793650793,0.119047619047619,0.0326672335600907,0.0223918915153591,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,test,relevance_grade,1,100,68,32,0.03,0.0,0.0,0.0,0.0,0.0466666666666666,0.0066176470588235,0.0441176470588235,0.0196078431372549,0.007364356223563,0.042,0.0116596638655462,0.0735294117647058,0.0254901960784313,0.008377536697251,0.041,0.0201739028944911,0.1323529411764706,0.0342436974789915,0.0131985002801761,0.0415,0.0247257236227824,0.1470588235294117,0.0351087493821057,0.0141661149439705,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,test,relevance_grade,2,100,61,39,0.03,0.0,0.0,0.0,0.0,0.0466666666666666,0.0032786885245901,0.0163934426229508,0.0081967213114754,0.0082094462820046,0.042,0.0128415300546448,0.0491803278688524,0.0147540983606557,0.0093388933674273,0.041,0.0202576112412178,0.0983606557377049,0.0217798594847775,0.0147130822795406,0.0415,0.0243559718969555,0.1147540983606557,0.0227441796390687,0.0157917346916393,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,test,conservative_relevance_grade,1,100,68,32,0.03,0.0,0.0,0.0,0.0,0.0466666666666666,0.0066176470588235,0.0441176470588235,0.0196078431372549,0.007364356223563,0.042,0.0116596638655462,0.0735294117647058,0.0254901960784313,0.0077653750906314,0.041,0.0201739028944911,0.1323529411764706,0.0342436974789915,0.0131655385514662,0.0415,0.0247257236227824,0.1470588235294117,0.0351087493821057,0.0137748231038753,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,test,conservative_relevance_grade,2,100,46,54,0.03,0.0,0.0,0.0,0.0,0.0466666666666666,0.0043478260869565,0.0217391304347826,0.0108695652173913,0.0108864396348323,0.042,0.0115942028985507,0.0434782608695652,0.0152173913043478,0.0114792501339769,0.041,0.0239130434782608,0.108695652173913,0.0245341614906832,0.0194621004673848,0.0415,0.0239130434782608,0.108695652173913,0.0245341614906832,0.0203627819796418,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,test,event_hierarchy_relevance_grade,1,100,68,32,0.03,0.0,0.0,0.0,0.0,0.0466666666666666,0.0066176470588235,0.0441176470588235,0.0196078431372549,0.0064910721145488,0.042,0.0116596638655462,0.0735294117647058,0.0254901960784313,0.0080638724295385,0.041,0.0201739028944911,0.1323529411764706,0.0342436974789915,0.0120542645897136,0.0415,0.0247257236227824,0.1470588235294117,0.0351087493821057,0.0129252911444222,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,test,event_hierarchy_relevance_grade,2,100,42,58,0.03,0.0,0.0,0.0,0.0,0.0466666666666666,0.0119047619047619,0.0238095238095238,0.0119047619047619,0.0105093548521267,0.042,0.0198412698412698,0.0476190476190476,0.0166666666666666,0.013055793457348,0.041,0.0353174603174603,0.119047619047619,0.0268707482993197,0.0195164283833458,0.0415,0.0353174603174603,0.119047619047619,0.0268707482993197,0.020926661852874,phase9_bm25,outputs/retrieval/bm25_metrics.csv
