protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Dosing / Administration,25,17,8,0.04,0.0,0.0,0.0,0.0,0.026666666666666665,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.036000000000000004,0.011764705882352941,0.058823529411764705,0.0058823529411764705,0.007564917277481962,0.036000000000000004,0.01911764705882353,0.11764705882352941,0.010407239819004526,0.010608354562760793
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Efficacy / Outcomes,6,3,3,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.025000000000000005,0.0,0.0,0.0,0.0
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Guideline / Evidence Lookup,8,7,1,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.07500000000000001,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.08125,0.08928571428571429,0.2857142857142857,0.02142857142857143,0.02038092423005142
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Interaction / Combination,5,4,1,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.05,0.25,0.08333333333333333,0.01955328025094819,0.04,0.05,0.25,0.08333333333333333,0.017336265771788553,0.04,0.05,0.25,0.08333333333333333,0.017336265771788553,0.030000000000000006,0.05,0.25,0.08333333333333333,0.017336265771788553
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Management / Treatment Selection,10,8,2,0.1,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.030000000000000006,0.03645833333333333,0.25,0.034722222222222224,0.016312380078043233,0.039999999999999994,0.03645833333333333,0.25,0.034722222222222224,0.016312380078043233
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Mechanism / Background Knowledge,7,3,4,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.08571428571428573,0.0,0.0,0.0,0.0,0.042857142857142864,0.0,0.0,0.0,0.0,0.028571428571428574,0.037037037037037035,0.3333333333333333,0.023809523809523808,0.011753638077775486
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Monitoring / Response / Risk Assessment,6,5,1,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.025000000000000005,0.0,0.0,0.0,0.0
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Prophylaxis / Maintenance,9,6,3,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.03333333333333333,0.16666666666666666,0.08333333333333333,0.02442338672877317,0.06666666666666668,0.03333333333333333,0.16666666666666666,0.08333333333333333,0.022969565472856165,0.03333333333333334,0.03333333333333333,0.16666666666666666,0.08333333333333333,0.022969565472856165,0.03888888888888889,0.05416666666666667,0.3333333333333333,0.09375,0.025769514548189463
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Safety / Contraindication,12,6,6,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.020833333333333332,0.16666666666666666,0.020833333333333332,0.008884741406065022,0.049999999999999996,0.0625,0.3333333333333333,0.03598484848484849,0.025687913159293682
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Treatment Change / Escalation,7,3,4,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.0,0.042857142857142864,0.1111111111111111,0.3333333333333333,0.037037037037037035,0.04715123948796791,0.05714285714285715,0.16666666666666666,0.6666666666666666,0.0537037037037037,0.05222695669126904
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,has_context,False,52,34,18,0.038461538461538464,0.0,0.0,0.0,0.0,0.05769230769230768,0.011764705882352941,0.058823529411764705,0.024509803921568624,0.0066103953346009344,0.04615384615384616,0.011764705882352941,0.058823529411764705,0.024509803921568624,0.006093013409537976,0.032692307692307694,0.03014705882352941,0.14705882352941177,0.03594771241830066,0.014091623970957083,0.032692307692307694,0.041993464052287585,0.23529411764705882,0.04135737628384688,0.016070675744346192
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,has_context,True,49,34,15,0.02040816326530612,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.03673469387755102,0.0,0.0,0.0,0.0,0.04081632653061224,0.009558823529411765,0.058823529411764705,0.006617647058823529,0.005350354180987749,0.04795918367346939,0.03897058823529412,0.17647058823529413,0.015965651995063758,0.014033411062736928
query_dedup,test,legacy:all_terms_minus_context_penalty,relevance_grade,1,query_language,EN,47,31,16,0.0,0.0,0.0,0.0,0.0,0.035460992907801414,0.0064516129032258064,0.03225806451612903,0.016129032258064516,0.004727107108794807,0.029787234042553193,0.0064516129032258064,0.03225806451612903,0.016129032258064516,0.004445722349585064,0.0297872340425532,0.01827956989247312,0.0967741935483871,0.024731182795698924,0.009242482503280594,0.024468085106382983,0.02589605734767025,0.16129032258064516,0.02864823348694316,0.01189286904402914
query_dedup,test,legacy:all_terms_minus_context_penalty,relevance_grade,1,query_language,ID,22,17,5,0.045454545454545456,0.0,0.0,0.0,0.0,0.0909090909090909,0.011764705882352941,0.058823529411764705,0.0196078431372549,0.004600771823752515,0.05454545454545454,0.011764705882352941,0.058823529411764705,0.0196078431372549,0.004079121358067895,0.059090909090909104,0.033823529411764704,0.23529411764705882,0.03937908496732027,0.014570024501413596,0.07045454545454546,0.0803921568627451,0.35294117647058826,0.04722222222222222,0.025928267966810716
query_dedup,test,legacy:all_terms_minus_context_penalty,relevance_grade,1,query_language,MIXED,32,20,12,0.0625,0.0,0.0,0.0,0.0,0.05208333333333333,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.037500000000000006,0.016666666666666666,0.05,0.005555555555555555,0.0070726859231951865,0.035937500000000004,0.029166666666666664,0.15,0.0132260101010101,0.010660071500584227
query_dedup,test,legacy:all_terms_minus_context_penalty,relevance_grade,1,query_intent,Comparative Treatment Choice,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0
query_dedup,test,legacy:all_terms_minus_context_penalty,relevance_grade,1,query_intent,Dosing / Administration,25,17,8,0.04,0.0,0.0,0.0,0.0,0.026666666666666665,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.04,0.011764705882352941,0.058823529411764705,0.0058823529411764705,0.007564917277481962,0.036000000000000004,0.01911764705882353,0.11764705882352941,0.011229946524064172,0.010797153577233785
query_dedup,test,legacy:all_terms_minus_context_penalty,relevance_grade,1,query_intent,Efficacy / Outcomes,6,3,3,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.025000000000000005,0.0,0.0,0.0,0.0
query_dedup,test,legacy:all_terms_minus_context_penalty,relevance_grade,1,query_intent,Guideline / Evidence Lookup,8,7,1,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.07500000000000001,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.08928571428571429,0.2857142857142857,0.019047619047619046,0.019723777575365278
